iter	RMSE
193	0.8270777931
194	0.8220629301
195	0.8162260914
196	0.8134004941
197	0.8075007295
198	0.8025845909
199	0.8001255375
200	0.7946647514
201	0.7925766189
202	0.7874076835
203	0.783960332
204	0.7799608862
205	0.7733166392
206	0.7710984381
207	0.7682698873
208	0.7633734127
209	0.7580284472
210	0.7545045605
211	0.7489160385
212	0.7456757422
213	0.7439094942
214	0.7387251715
215	0.7365874714
216	0.7311707731
217	0.7275997991
218	0.7239326671
219	0.7189095576
220	0.7132248196
221	0.7102103805
222	0.7050950834
223	0.7010277914
224	0.6983495645
225	0.6963990373
226	0.6916287357
227	0.6879802664
228	0.6835085814
229	0.6798482728
230	0.6758818999
231	0.673155535
232	0.6689375007
233	0.6667965637
234	0.6655272919
235	0.6604869934
236	0.6581562815
237	0.6564550516
238	0.6541421536
239	0.6523668824
240	0.6508359758
241	0.6494424058
242	0.6475014313
243	0.6443734746
244	0.6428664905
245	0.6385848495
246	0.6330224452
247	0.632058801
248	0.6307398556
249	0.6293035798
250	0.6282265283
251	0.6263087541
252	0.6248580603
253	0.6240961742
254	0.6225922214
255	0.6207752913
256	0.6194469047
257	0.6182534531
258	0.6164237514
259	0.6127621512
260	0.6101976762
261	0.6087937156
262	0.607546928
263	0.6055744505
264	0.6020013059
265	0.6005042466
266	0.5988610674
267	0.5953774732
268	0.5934190315
269	0.5921309088
270	0.5910237946
271	0.5903174464
272	0.5897721857
273	0.5891428462
274	0.5879241864
275	0.5851867414
276	0.5828232688
277	0.5807560303
278	0.578771503
279	0.575115138
280	0.5729495219
281	0.5719692471
282	0.5710140283
283	0.5691361978
284	0.5674794143
285	0.5666480538
286	0.5648313727
287	0.5638688746
288	0.5621974094
289	0.5604860035
290	0.5588897408
291	0.5580945694
292	0.5564896472
293	0.5557148542
294	0.5523434978
295	0.5514299022
296	0.5500182955
297	0.5484931023
298	0.5455023365
299	0.5440985442
300	0.5426578325
301	0.541959876
302	0.5395163852
303	0.5377876638
304	0.5365024227
305	0.5342718932
306	0.5313097837
307	0.5305406918
308	0.5284177757
309	0.5255982241
310	0.5232810783
311	0.5217917324
312	0.5210072417
313	0.5201933297
314	0.5191415282
315	0.517744912
316	0.5159900734
317	0.5154603664
318	0.5141517363
319	0.5120208595
320	0.5108813367
321	0.5103031388
322	0.509884052
323	0.5078579366
324	0.5070253917
325	0.5049369184
326	0.5041852784
327	0.5029440139
328	0.5007722358
329	0.4995523241
330	0.4975978098
331	0.4964213374
332	0.4953658349
333	0.4932553734
334	0.4922587937
335	0.4916753693
336	0.4912261314
337	0.490269514
338	0.4894644647
339	0.4890078733
340	0.4878798402
341	0.4858611488
342	0.4841833972
343	0.4837067048
344	0.4832803869
345	0.4815444988
346	0.4797368552
347	0.4792432759
348	0.4783661462
349	0.4769912745
350	0.4760705814
351	0.4752876832
352	0.4737389169
353	0.4733509254
354	0.4723732747
355	0.4719929369
356	0.4716921838
357	0.4712972083
358	0.4709227813
359	0.469471808
360	0.4674207576
361	0.4654648678
362	0.4647356821
363	0.4645057495
364	0.4634529949
365	0.4631347533
366	0.4624415142
367	0.4608866444
368	0.4605688486
369	0.4597308241
370	0.4589246286
371	0.4577176296
372	0.4555950639
373	0.4548081162
374	0.4539389162
375	0.4522560727
376	0.4504321863
377	0.448944537
378	0.4469882595
379	0.4464431944
380	0.4442615172
381	0.4426646667
382	0.4411136493
383	0.4398488707
384	0.4387514047
385	0.4378665649
386	0.4362371876
387	0.4351773038
388	0.4339254329
389	0.4324628909
390	0.4315770184
391	0.4304915347
392	0.4292795184
393	0.4281631365
394	0.4277527339
395	0.4260895277
396	0.4243640065
397	0.4235244098
398	0.421606552
399	0.4209832156
400	0.4203755698
401	0.4188109072
402	0.4182237124
403	0.4179225829
404	0.4164066721
405	0.415718433
406	0.414857949
407	0.4142602834
408	0.4127288866
409	0.4114353523
410	0.411234445
411	0.4095130478
412	0.4089369628
413	0.4077045342
414	0.406605144
415	0.4047494363
416	0.4033407148
417	0.4028036586
418	0.4025205123
419	0.401541671
420	0.3998554819
421	0.398388073
422	0.3974183171
423	0.3969084709
424	0.3957927815
425	0.394770761
426	0.3933315281
427	0.3918095757
428	0.3912998109
429	0.3901120563
430	0.3889855738
431	0.3880059844
432	0.3863274148
433	0.3856645248
434	0.3855765974
435	0.3847799503
436	0.3843669069
437	0.3842714498
438	0.3830236938
439	0.3829254959
440	0.3823479035
441	0.3822672178
442	0.38146085
443	0.3802558318
444	0.379415289
445	0.3786101609
446	0.3776140578
447	0.3765643523
448	0.3764474635
449	0.3755958292
450	0.3745769549
451	0.3735760298
452	0.3728153998
453	0.3717118273
454	0.3709721904
455	0.3697779209
456	0.3682612902
457	0.3671188859
458	0.3665449969
459	0.3652745008
460	0.3647618922
461	0.3646201058
462	0.3645143188
463	0.3638283115
464	0.3633690409
465	0.3632848045
466	0.3622532456
467	0.3617325044
468	0.3615977732
469	0.3605527626
470	0.3604684964
471	0.3599077176
472	0.3592615603
473	0.3591800749
474	0.3590522957
475	0.3584253795
476	0.3570778952
477	0.3559058453
478	0.3545790949
479	0.3534982233
480	0.3525633702
481	0.3511606148
482	0.3506051703
483	0.3495045806
484	0.3494329249
485	0.3488628137
486	0.3478496429
487	0.3469084126
488	0.3460529684
489	0.3459549405
490	0.3450542864
491	0.3442691917
492	0.3434567718
493	0.3431500251
494	0.3420459726
495	0.3414359921
496	0.3412356717
497	0.3411674885
498	0.340932709
499	0.3407469542
500	0.3393425928
501	0.3384520447
502	0.3370970822
503	0.3360241762
504	0.3353459666
505	0.3352861223
506	0.3347169388
507	0.3341748733
508	0.3334826977
509	0.332443553
510	0.3319255725
511	0.3309350506
512	0.3300655131
513	0.3295854427
514	0.3288417099
515	0.3279143907
516	0.3278593275
517	0.3275816856
518	0.3266854177
519	0.3259499086
520	0.3250363964
521	0.3246809715
522	0.3246139858
523	0.3240224496
524	0.323314516
525	0.3224388759
526	0.3214679574
527	0.3210819277
528	0.3204355197
529	0.3199909776
530	0.3194463653
531	0.3193831877
532	0.3193054593
533	0.3181079836
534	0.317343412
535	0.3172819635
536	0.317254739
537	0.3162836594
538	0.3158863476
539	0.3148732096
540	0.3145041662
541	0.3139068573
542	0.3128498618
543	0.3127924493
544	0.3124472848
545	0.3119016638
546	0.3110599864
547	0.3099442121
548	0.3089411562
549	0.3088921591
550	0.3084867306
551	0.3076654458
552	0.3070209341
553	0.3063723972
554	0.3056302743
555	0.3048545113
556	0.3038669121
557	0.3038308763
558	0.3037974407
559	0.3037456476
560	0.3027491813
561	0.3018785998
562	0.3014386031
563	0.3007253394
564	0.3001427159
565	0.2993909696
566	0.2985630493
567	0.2977892298
568	0.2972160392
569	0.2965434023
570	0.2964928398
571	0.2964538125
572	0.2956536042
573	0.2956179255
574	0.2951254221
575	0.294459065
576	0.2940291155
577	0.2939946893
578	0.2932501662
579	0.2931692376
580	0.2923953346
581	0.2916053614
582	0.2910848097
583	0.2907174177
584	0.2900225724
585	0.2899636997
586	0.2891644621
587	0.2887351795
588	0.2879197531
589	0.2870271188
590	0.2869875431
591	0.2869489122
592	0.2865477224
593	0.2859471087
594	0.2856532963
595	0.2851916861
596	0.2844745837
597	0.2838810143
598	0.2829076138
599	0.2822976368
600	0.2816091467
601	0.2806626082
602	0.2800296908
603	0.2791179422
604	0.2784180443
605	0.2781503591
606	0.2776434572
607	0.2774036237
608	0.2773713641
609	0.2768182317
610	0.2767799439
611	0.2763609593
612	0.2759930059
613	0.2755798074
614	0.2753268058
615	0.274779327
616	0.2741352303
617	0.2735511638
618	0.2733096636
619	0.2725021189
620	0.2721937591
621	0.2721674716
622	0.271943968
623	0.2710791151
624	0.2710210198
625	0.2709878026
626	0.2707168199
627	0.2700339563
628	0.269484616
629	0.2689695392
630	0.2687070791
631	0.268476728
632	0.268252247
633	0.26762444
634	0.2672261598
635	0.2666313201
636	0.2659753599
637	0.2653585077
638	0.2648924268
639	0.2645525809
640	0.2641128712
641	0.2636347196
642	0.2630196762
643	0.2624345715
644	0.2619887106
645	0.2614620678
646	0.2614345691
647	0.2614033858
648	0.2604969192
649	0.2604704143
650	0.2598362372
651	0.2591554333
652	0.2583880654
653	0.257774705
654	0.2577431908
655	0.2577117268
656	0.2572438396
657	0.2567331816
658	0.2561848932
659	0.2556609192
660	0.2556365454
661	0.2556081633
662	0.2549328366
663	0.2546803308
664	0.2541397854
665	0.2540915091
666	0.2537604459
667	0.2534935291
668	0.2532229482
669	0.2532062949
670	0.2528846405
671	0.2525239983
672	0.252109657
673	0.2514629858
674	0.2512897316
675	0.2508691343
676	0.2503995236
677	0.2502301856
678	0.2496742394
679	0.2492149782
680	0.2491885005
681	0.2488302021
682	0.2481813517
683	0.2477638638
684	0.247358092
685	0.2466239971
686	0.2462614465
687	0.2462370972
688	0.2462138418
689	0.2458348418
690	0.2452057434
691	0.2446992581
692	0.2441048824
693	0.243449764
694	0.2426573577
695	0.2420570867
696	0.2417529194
697	0.2411743477
698	0.2405007746
699	0.2399282882
700	0.2397756495
701	0.2397521396
702	0.2397045467
703	0.2392274073
704	0.2392130026
705	0.2389346412
706	0.2387757514
707	0.2381599582
708	0.2375655207
709	0.2373260011
710	0.2371577178
711	0.2369821624
712	0.2364061279
713	0.2361154242
714	0.2357701852
715	0.2352840481
716	0.2347328759
717	0.2342010133
718	0.2337728943
719	0.2334155297
720	0.2327137215
721	0.232196234
722	0.2317792902
723	0.2315607166
724	0.2307315039
725	0.2304119651
726	0.2303689183
727	0.2301847457
728	0.2297860339
729	0.2294025769
730	0.2290122289
731	0.2286486974
732	0.2282209117
733	0.2279552226
734	0.2275385224
735	0.2271595469
736	0.2271411464
737	0.2266072103
738	0.2259330794
739	0.225724506
740	0.2251913358
741	0.2251735505
742	0.2247727261
743	0.224239975
744	0.2238549771
745	0.2234010039
746	0.2233876899
747	0.2229056296
748	0.2222812011
749	0.2220785784
750	0.222043387
751	0.2218779485
752	0.2212748117
753	0.2204087963
754	0.2199869108
755	0.2198045623
756	0.2193455468
757	0.2193030682
758	0.2188324148
759	0.2184829916
760	0.2180945165
761	0.2177879578
762	0.2175445492
763	0.2173372036
764	0.2169101661
765	0.21656359
766	0.2165526442
767	0.2161115935
768	0.2158359209
769	0.2158190298
770	0.2152969242
771	0.215087054
772	0.2148833455
773	0.2148659217
774	0.2148491237
775	0.2145057702
776	0.2141851684
777	0.2140431696
778	0.2137304464
779	0.2133113934
780	0.2130942933
781	0.2130724797
782	0.2128796867
783	0.2128681245
784	0.2122643007
785	0.2119804841
786	0.2118268565
787	0.2114547451
788	0.2107434136
789	0.2105094672
790	0.2099728616
791	0.2096606399
792	0.209394787
793	0.2090145796
794	0.2084014523
795	0.2080393587
796	0.2076701874
797	0.2076345507
798	0.2074676208
799	0.206972458
800	0.2067958192
801	0.2066452121
802	0.2063020041
803	0.206117998
804	0.2053527368
805	0.2051806987
806	0.2047228279
807	0.204578938
808	0.2042606563
809	0.2041404636
810	0.2040057091
811	0.2037475992
812	0.2034360768
813	0.2030352118
814	0.2025274344
815	0.2022761866
816	0.2018722835
817	0.2016542818
818	0.2012592375
819	0.2010062498
820	0.2007552308
821	0.2006187049
822	0.2001152798
823	0.1998034148
824	0.1995645415
825	0.1991535083
826	0.1984395597
827	0.1981126631
828	0.1977288779
829	0.1976120563
830	0.1973026369
831	0.1970614244
832	0.1967208787
833	0.1964608598
834	0.1962045374
835	0.1957967713
836	0.1957867404
837	0.1955083842
838	0.1952278942
839	0.1950060015
840	0.1947724171
841	0.1943940523
842	0.1939941937
843	0.1938389659
844	0.1935702943
845	0.1935334777
846	0.1935169036
847	0.1931473077
848	0.1929014997
849	0.1926401418
850	0.1919701799
851	0.1916260963
852	0.1911849694
853	0.1909556264
854	0.1905997192
855	0.1903990091
856	0.1902796043
857	0.1898760472
858	0.1895962285
859	0.1893547413
860	0.189063048
861	0.1888835955
862	0.1886121295
863	0.1883806625
864	0.1882248244
865	0.1879197803
866	0.1877551429
867	0.1876498981
868	0.1875844845
869	0.1872488711
870	0.1867744075
871	0.1864321404
872	0.1862156219
873	0.1858373173
874	0.1854526835
875	0.1850942876
876	0.1848822913
877	0.1846226873
878	0.1842768708
879	0.1842649904
880	0.1839443996
881	0.1839323011
882	0.1835422767
883	0.1832470616
884	0.1830335147
885	0.1828177607
886	0.1823739548
887	0.1821642423
888	0.1818173419
889	0.1814482763
890	0.1814373678
891	0.1810795553
892	0.1810459745
893	0.180905418
894	0.1806768418
895	0.1806654374
896	0.180537505
897	0.1800984403
898	0.1797443544
899	0.1792887001
900	0.1790636528
901	0.1788527745
902	0.1786437087
903	0.1783507508
904	0.1780718255
905	0.1778720998
906	0.1773707869
907	0.1771758442
908	0.1768906703
909	0.1766874889
910	0.1766774012
911	0.1763883835
912	0.176180725
913	0.1760260061
914	0.1759140316
915	0.1753969774
916	0.1750896144
917	0.1747625098
918	0.1747523278
919	0.1743595243
920	0.1739286699
921	0.1735496608
922	0.1732684011
923	0.1730106447
924	0.1729790096
925	0.1729523183
926	0.1728092774
927	0.1727760163
928	0.172745693
929	0.1727167106
930	0.1723472446
931	0.1722152342
932	0.171909943
933	0.1718996381
934	0.171886392
935	0.1717754745
936	0.171579945
937	0.1713998201
938	0.1710375245
939	0.1708690075
940	0.1707166505
941	0.170322125
942	0.1701664396
943	0.170002823
944	0.1698458418
945	0.1696794642
946	0.1695243668
947	0.1693741995
948	0.1692618448
949	0.1690934658
950	0.1687114928
951	0.1685054951
952	0.1682704246
953	0.1680178389
954	0.167873569
955	0.1677272199
956	0.1675880006
957	0.1673607939
958	0.1671506769
959	0.1669809736
960	0.1668034804
961	0.1667741774
962	0.1667573462
963	0.1663024313
964	0.1659640786
965	0.1657824046
966	0.165595775
967	0.1655852527
968	0.1653171693
969	0.1649850879
970	0.1646912891
971	0.164439589
972	0.1642378957
973	0.1642291597
974	0.1639670789
975	0.1637775021
976	0.1636176485
977	0.1632769292
978	0.1632474192
979	0.1630757078
980	0.1628775496
981	0.1627184964
982	0.1623687466
983	0.1620375494
984	0.1618853465
985	0.1616725677
986	0.1616459058
987	0.1616196455
988	0.1615742913
989	0.1613487324
990	0.1611897955
991	0.160904653
992	0.1608947492
993	0.1606216447
994	0.1605214148
995	0.1602890649
996	0.1598709216
997	0.1595672143
998	0.1592399925
999	0.1592261038
